sureh,ayeh,matn,processed matn
2,23,و اگر در آنچه بر بنده‌ی خود [از قرآن] نازل کرده‌ایم، تردید دارید، یک سوره همانند آن بیاورید و گواهان خود را غیر از خداوند، بر این کار دعوت کنید، اگر راست می‌گویید!,بنده قرآن نازل کرد تردید داشت سوره همانند بیاورید گواه خداوند کار دعوت راست گفت 
2,97,[یهود می‌گویند: «چون فرشته‌ای كه وحی بر تو نازل می‌كند، جِبرئیل است، ما به تو ایمان نمی‌آوریم.»] بگو: «هر كه دشمن جِبرئیل باشد [در حقیقت دشمن خداست].» چرا كه او به فرمان خدا، قرآن را بر قلب تو نازل كرده است، [قرآنی] كه كتب آسمانی پیشین را تصدیق می‌كند و مایه‌ی هدایت و بِشارت برای مؤمنان است.,یهود فرشته وحی نازل جبرئیل ایمان آورد بگو دشمن جبرئیل حقیقت دشمن خداست فرمان خدا قرآن قلب نازل قرآن کتب آسمانی پیشین تصدیق مایه هدایت بشارت مؤمنان 
4,82,آیا در قرآن نمی‌اندیشند؟ در حالی که اگر از سوی غیر خدا بود، قطعاً اختلاف بسیاری در آن می‌یافتند.,قرآن نمی‌اندیشند؟ خدا قطعا اختلاف یافت 
4,140,و خداوند در قرآن [این حکم را] بر شما نازل کرده است که هرگاه شنیدید آیات خدا مورد انکار یا تمسخر قرار می‌گیرد، با آنان همنشینی نکنید تا به سخن دیگری بپردازند، وگرنه، شما هم مانند آنان خواهید بود. خداوند همه‌ی منافقان و کافران را در دوزخ جمع می‌کند.,خداوند قرآن حکم نازل هرگاه شنید آیات خدا انکار تمسخر قرار همنشینی کرد سخن پرداخت وگرنه خواست خداوند همه منافق کافر دوزخ 
4,174,ای مردم! دلیل روشنی از سوی پروردگارتان برای شما آمده است. و نوری روشنگر [همچون قرآن] را به سوی شما فرود آوردیم.,ای مردم دلیل روشنی پروردگار نوری روشنگر قرآن فرود آورد 
6,26,و آنان، مردم را از آن [پیامبر و قرآن] بازمی‌دارند. و خود نیز از آن دور و محروم می‌شوند، [ولی بدانند که] جز خودشان را هلاک نمی‌سازند، و[لی] نمی‌فهمند.,مردم پیامبر قرآن بازمی‌دارند محروم دانست خودشان هلاک ساخت فهمید 
6,66,و قوم تو این قرآن را تکذیب کردند، با آن که سخن حقّی است. بگو: «من وکیل و عهده‌دار ایمان آوردن شما نیستم.»,قوم قرآن تکذیب آن‌که سخن حقی بگو وکیل عهده‌دار ایمان آوردن نیستم 
6,156,ما این قرآن را نازل کردیم،] تا نگویید: «کتاب آسمانی تنها بر دو طایفه پیش از ما، [یهود و نصارا] نازل شده بود و ما از بحث و بررسی آنها بی‌خبر بودیم.»,قرآن نازل کرد گفت کتاب آسمانی طایفه یهود نصارا نازل بحث بررسی بی‌خبر بود 
8,31,و هرگاه آیات ما بر آنان تلاوت شود، می‌گویند: «شنیدیم، ما نیز اگر بخواهیم، قطعاً مانند این قرآن را بیان می‌کنیم. این، جز افسانه‌های پیشینیان نیست!»,هرگاه آیات تلاوت شنید خواست قطعا قرآن افسانه پیشینیان 
10,15,و هرگاه آیات روشن ما بر آنان تلاوت می‌شود، کسانی که به دیدار ما [و دریافت پاداش‌های اخروی] امید و باوری ندارند، می‌گویند: «قرآنی غیر از این بیاور! یا این قرآن را تغییر بده!» [به آنان] بگو: «من حقّ ندارم که آن را از پیش خود تغییر دهم. من تنها آنچه را که به من وحی می‌شود، پیروی می‌کنم. من از عذاب روزی بزرگ بیمناکم، اگر پروردگارم را نافرمانی کنم.»,هرگاه آیات روشن تلاوت دیدار دریافت پاداش اخروی امید باوری قرآن بیاور قرآن بده بگو حق داشت دهم وحی پیروی عذاب روزید بیمناک پروردگار نافرمانی 
