sureh,ayeh,matn,processed matn
1,1,به نام خداوند بخشنده‌ی مهربان.,نام خداوند بخشنده مهربان 
1,2,سپاس و ستایش مخصوص خداوندی است که پروردگار جهانیان است.,سپاس ستایش مخصوص خداوندی پروردگار جهانیان 
1,3,[خدایی که] بخشنده و مهربان است.,خدایی بخشنده مهربان 
1,4,[خدایی که] مالک روز جزاست.,خدایی مالک روز جزاست 
1,5,[خدایا!] تنها تو را می‌پرستیم و تنها از تو یاری می‌جوییم.,خدایا پرستید یاری جست 
1,6,[خداوندا!] ما را به راه راست هدایت فرما.,خداوندا راست هدایت فرما 
1,7,راه کسانی که به آنان نعمت دادی، نه کسانی که مورد غضب واقع شدند و نه گمراهان.,نعمت داد غضب واقع گمراه 
2,1,الف، لام، میم.,الف لام  
2,2,آن کتاب [با عظمت که] در [حقّانیت] آن هیچ تردیدی راه ندارد، راهنمای پرهیزکاران است.,کتاب عظمت حقانیت تردید راهنمای پرهیزکار 
2,3,[متّقین] کسانی هستند که به غیب ایمان دارند و نماز را به پای می‌دارند و از آنچه به آنان روزی داده‌ایم، انفاق می‌کنند.,متقین غیب ایمان نماز پای داشت روزید داد انفاق 
2,4,و آنان به آنچه بر تو نازل شده و آنچه پیش از تو [بر پیامبران] نازل گردیده، ایمان دارند و هم آنان به آخرت [نیز] یقین دارند.,نازل پیامبر نازل گردیده ایمان آخرت یقین 
2,5,تنها آنان از جانب پروردگارشان بر هدایتند و آنان همان رستگاران هستند.,جانب پروردگار هدایتند رستگار 
2,6,کسانی که کفر ورزیده‌اند، برای آنها یکسان است که هشدارشان بدهی یا هشدارشان ندهی، آنان ایمان نخواهند آورد.,کفر ورزید یکسان هشدار بدهی هشدار داد ایمان خواست 
2,7,خداوند بر دل‌ها و بر گوش آنان مهر زده است و در برابر چشمانشان پرده‌ای است و عذاب بزرگی در انتظار آنهاست.,خداوند دل گوش مهر زده چشمانشان پرده عذاب بزرگی انتظار آنهاست 
2,8,و گروهی از مردم کسانی هستند که می‌گویند: «به خدا و روز قیامت ایمان آورده‌ایم!» در حالی که ایمان نیاورده‌اند.,مردم خدا روز قیامت ایمان آورد ایمان نیاورده‌اند 
2,9,آنان با خداوند و مؤمنان نیرنگ می‌کنند در حالی که جز خودشان را فریب نمی‌دهند، امّا نمی‌فهمند!,خداوند مؤمنان نیرنگ خودشان فریب داد فهمید 
2,10,در دل‌های آنان یک نوع بیماری است؛ خداوند بر بیماری آنان افزوده؛ و به خاطر دروغ‌هایی که می‌گفتند، عذاب دردناکی در انتظار آنهاست.,دل بیماری است؛ خداوند بیماری افزوده؛ خاطر دروغ گفت عذاب دردناکی انتظار آنهاست 
2,11,و هنگامی که به آنان گفته شود: «در زمین فساد نکنید!» می‌گویند: «ما فقط اصلاح کننده‌ایم!»,هنگامی‌که زمین فساد کرد اصلاح کننده 
2,12,آگاه باشید! اینها همان مفسدانند؛ ولی نمی‌فهمند.,آگاه باشید اینها مفسدانند؛ فهمید 
2,13,و چون به آنان گفته شود: «شما نیز همان‌گونه که [سایر] مردم ایمان آورده‌اند، ایمان آورید!» می‌گویند: «آیا ما نیز همانند ساده‌اندیشان و سبک‌مغزان، ایمان بیاوریم؟!» آگاه باشید! آنان خود بی‌خردند، ولی نمی‌دانند.,همان‌گونه مردم ایمان آورد ایمان آورد همانند ساده‌اندیشان سبک‌مغز ایمان بیاوریم؟ آگاه باشید بی‌خردند دانست 
2,14,و چون با اهل ایمان ملاقات کنند، می‌گویند: «ما [نیز همانند شما] ایمان آورده‌ایم»؛ ولی هرگاه با [همفکرانِ] شیطان‌صفت خود تنها شوند، می‌گویند: «ما با شماییم، ما فقط [اهل ایمان را] مسخره می‌کنیم».,اهل ایمان ملاقات همانند ایمان آورده‌ایم؛ هرگاه همفکران شیطان‌صفت شما اهل ایمان مسخره 
2,15,خداوند آنان را به استهزا می‌گیرد و آنان را در طغیانشان مهلت می‌دهد تا سرگردان شوند.,خداوند استهزا طغیان مهلت سرگردان 
2,16,آنان کسانی هستند که به بهای [از دست دادن] هدایت، خریدار ضلالت و گمراهی شدند؛ امّا این داد و ستد، سودشان نبخشید و در شمار هدایت‌یافتگان درنیامدند.,بهای دست هدایت خریدار ضلالت گمراهی شدند؛ ستد سود بخشید هدایت‌یافتگان درنیامدند 
2,17,مَثل آنان (منافقان)، مَثل کسی است که آتشی افروخته [تا از تاریکی، رهایی یابد]، پس چون آتش، اطراف خود را روشن ساخت، خداوند روشنایی و نورشان را ببرد و آنان را در تاریکی‌هایی که [هیچ] نمی‌بینند، رهایشان کند.,(منافقان) آتشی افروخته تاریکی رهایی آتش اطراف روشن ساخت خداوند روشنایی نور برد تاریکی دید رهایشان 
2,18,آنان [از شنیدن حقّ] کر و [از گفتن حقّ] گنگ و [از دیدن حقّ] کورند، پس ایشان [به سوی حقّ] بازنمی‌گردند.,شنیدن حق کر گفتن حق گنگ دیدن حق کورند حق بازنمی‌گردند 
2,19,یا چون [گرفتاران در] بارانی تند از آسمانند که در شبی تاریک همراه با رعد و برق [در بیابان] ببارد، [آنان] از ترس صاعقه‌ها و بیم مرگ، انگشتان خود را در گوش‌هایشان قرار می‌دهند، و[لی] خداوند بر کافران احاطه دارد.,گرفتار بارانی تند آسمانند شبی تاریک همراه رعد برق بیابان ببارد ترس صاعقه بیم مرگ انگشتان گوش قرار خداوند کافر احاطه 
2,20,نزدیک است که [روشنایی خیره‌کننده‌ی] برق، نور چشمانشان را برباید. هرگاه که [برق آسمان در آن صحرای تاریک و بارانی] برای آنان بدرخشد، [چند گامی] در پرتو آن راه می‌روند؛ ولی همین که تاریکی، ایشان را فراگیرد، می‌ایستند و اگر خداوند بخواهد، شنوایی و بینایی آنان را [از بین] می‌برد، همانا خداوند بر هر چیزی تواناست.,روشنایی خیره‌کننده برق نور چشمانشان ربود هرگاه برق آسمان صحرا تاریک بارانی درخشید گام پرتو می‌روند؛ تاریکی فراگرفت ایستاد خداوند خواست شنوایی بینایی برد همانا خداوند تواناست 
2,21,ای مردم! پروردگارتان را که شما و پیشینیان شما را آفرید، پرستش کنید تا اهل تقوا شوید.,ای مردم پروردگار پیشینیان آفرید پرستش اهل تقوا شد 
2,22,آن [خداوندی] که زمین را برای شما فرشی [گسترده] و آسمان را بنایی [افراشته] قرار داد و از آسمان، آبی فروفرستاد و به وسیله‌ی آن از میوه‌ها، روزی برای شما بیرون آورد، پس برای خداوند شریک و همتایی قرار ندهید با آن که خودتان می‌دانید [که هیچ یک از آنها، نه شما را آفریده‌اند و نه روزی می‌دهند].,خداوندی زمین فرشی گسترده آسمان بنایی افراشته قرار آسمان آبی فروفرستاد وسیله میوه روزید خداوند شریک همتایی قرار داد آن‌که خودتان دانست هیچ‌یک آفرید روزید 
2,23,و اگر در آنچه بر بنده‌ی خود [از قرآن] نازل کرده‌ایم، تردید دارید، یک سوره همانند آن بیاورید و گواهان خود را غیر از خداوند، بر این کار دعوت کنید، اگر راست می‌گویید!,بنده قرآن نازل کرد تردید داشت سوره همانند بیاورید گواه خداوند کار دعوت راست گفت 
2,24,پس اگر این کار را نکردید، که هرگز نتوانید کرد، از آتشی بترسید که هیزمش مردم [گناهکار] و سنگ‌ها هستند و برای کافران مهیا شده است.,کار کرد هرگز توانست آتشی ترسید هیزم مردم گناهکار سنگ کافر مهیا 
2,25,و به کسانی که ایمان آورده و کارهای شایسته انجام داده‌اند، مژده بده که برایشان باغ‌هایی بهشتی است که نهرها از پای [درختان] آن جاری است، هرگاه میوه‌ای از آن [باغ‌ها] روزی آنان شود، می‌گویند: «این همان است که قبلاً نیز به ما روزی داده شده بود.» در حالی که همانند آن نعمت‌ها به ایشان داده شده است، [نه خود آنها] و برای آنان در بهشت همسرانی پاک و پاکیزه است و در آنجا جاودانه‌اند.,ایمان آورده کارهای شایسته انجام داد مژده بده برایشان باغ بهشتی نهر پای درختان هرگاه میوه‌ای باغ روزید قبلا روزید داده‌شده همانند نعمت داده‌شده بهشت همسرانی پاک پاکیزه جاودانه‌اند 
2,26,خداوند پروا ندارد از این که به پشه‌ای یا فراتر از آن [در کوچکی] مثال بزند، پس آنهایی که ایمان دارند، می‌دانند که آن [مثال، گویای] حقیقتی است از طرف پروردگارشان، ولی کسانی که کفر ورزیده‌اند، [بهانه‌جویی کرده،] می‌گویند: «خداوند از این مثل چه منظوری داشته است؟» [آری،] خداوند بسیاری را بدان [مثال] گمراه و بسیاری را بدان هدایت می‌فرماید. [امّا آگاه باشید که] خداوند جز افراد فاسق را بدان گمراه نمی‌کند.,خداوند پروا این‌که پشه فراتر کوچکی مثال زد آنهایی ایمان دانست مثال گویا حقیقتی پروردگار کفر ورزید بهانه‌جویی خداوند منظور است؟ آری خداوند بدان مثال گمراه بدان هدایت فرمود آگاه باشید خداوند فاسق بدان گمراه کرد 
2,27,[فاسقان] کسانی هستند که پیمان خدا را پس از آن که محکم بستند، می‌شکنند، و پیوندهایی را که خدا دستور داده برقرار سازند، قطع می‌نمایند، و در زمین فساد می‌کنند، قطعاً آنان زیانکارانند.,فاسق پیمان خدا آن‌که محکم بست شکست پیوند خدا دستور برقرار ساخت قطع نمود زمین فساد قطعا زیانکارانند 
2,28,چگونه به خداوند کافر می‌شوید، در حالی که شما [اجسام بی‌روح و] مردگانی بودید که او به شما زندگی بخشید، سپس شما را می‌میراند و بار دیگر شما را زنده می‌کند، سپس به سوی او بازگردانده می‌شوید.,خداوند کافر شد اجسام بی‌روح مردگانی بود زندگی بخشید می‌راند زنده بازگردانده شد 
2,29,اوست آن کسی که آنچه در زمین است، همه را برای شما آفرید، سپس به آفرینش آسمان پرداخت و آنها را به صورت هفت آسمان، استوار نمود و او بر هر چیزی آگاه است.,اوست زمین آفرید آفرینش آسمان پرداخت صورت هفت‌آسمان استوار نمود آگاه 
2,30,و [به یاد آور] هنگامی که پروردگارت به فرشتگان گفت: «من بر آنم که در زمین جانشینی قرار دهم.» فرشتگان گفتند: «آیا کسی را در زمین قرار می‌دهی که در آن فساد کند و خون‌ها بریزد؟ در حالی که ما با حمد و ستایش، تو را تنزیه و تقدیس می‌کنیم.» خداوند فرمود: «به راستی من حقایقی را می‌دانم که شما نمی‌دانید.»,یاد آور هنگامی‌که پروردگار فرشتگ آن زمین جانشینی قرار دهم فرشتگ گفت زمین قرار داد فساد خون بریزد؟ حمد ستایش تنزیه تقدیس خداوند فرمود راستی حقایق دانست دانست 
2,31,و خداوند همه‌ی اسماء (حقایق و اسرار هستی) را به آدم آموخت، سپس آنها را به فرشتگان عرضه داشت و فرمود: «اگر راست می‌گویید، [و از آدم شایسته‌ترید،] از اسامی اینها به من خبر دهید.»,خداوند همه اسماء (حقایق اسرار هستی) آدم آموخت فرشتگ عرضه فرمود راست گفت آدم شایسته‌ترید اسامی اینها خبر داد 
2,32,فرشتگان گفتند: «پروردگارا! تو پاک و منزهی! ما چیزی جز آنچه تو به ما آموخته‌ای نمی‌دانیم، همانا تو دانای حکیمی!»,فرشتگ گفت پروردگارا پاک منزه آموخت دانست همانا دانا حکیمی 
2,33,[خداوند] فرمود: «ای آدم! فرشتگان را از نام‌های آنان خبر ده!» پس چون آدم آنها را از نام‌هایشان خبر داد، خداوند فرمود: «آیا به شما نگفتم که اسرار آسمان‌ها و زمین را می‌دانم و آنچه را آشکار می‌کنید و آنچه را پنهان می‌داشتید، می‌دانم؟»,خداوند فرمود ای آدم فرشتگ نام خبر ده آدم نام خبر خداوند فرمود گفت اسرار آسمان زمین دانست آشکار کرد پنهان داشت می‌دانم؟ 
2,34,و هنگامی که به فرشتگان گفتیم: «برای آدم سجده کنید.» همگی سجده کردند. جز ابلیس که سر باز زد و تکبّر کرد، و از کافران گردید.,هنگامی‌که فرشتگ گفت آدم سجده همگی سجده ابلیس سر زد تکبر کافر گشت 
2,35,و گفتیم: «ای آدم! تو با همسرت در این باغ سکونت کن و از آن هر چه می‌خواهید به فراوانی و گوارایی بخورید، امّا به این درخت نزدیک نشوید که از ستمگران خواهید شد.»,گفت ای آدم همسر باغ سکونت کن خواست فراوانی گوارایی خورد درخت شد ستمگر خواست 
2,36,پس شیطان آن دو را به لغزش انداخت و آنان را از باغی که در آن بودند، بیرون کرد و [در این هنگام به آنها] گفتیم: «[از این جایگاه] فرود آیید! در حالی که دشمن یکدیگر خواهید بود و برای شما در زمین قرارگاه و تا وقتی معین بهره و برخورداری خواهد بود.»,شیطان لغزش انداخت باغی گفت جایگاه فرود آمد دشمن خواست زمین قرارگاه معین بهره برخورداری خواست 
2,37,پس آدم از سوی پروردگارش کلماتی دریافت نمود، [و توبه کرد،] پس خداوند لطف خود را بر او بازگرداند. همانا او توبه‌پذیر مهربان است.,آدم پروردگار کلماتی دریافت نمود توبه خداوند لطف بازگرداند همانا توبه‌پذیر مهربان 
